id,ident,name,name_zh,source
1662,CYAV,Winnipeg / St. Andrews Airport,温尼伯/圣安德鲁斯机场,llm:codex:deepseek-v4.1-flash
1666,CYAZ,Tofino / Long Beach Airport,托菲诺/长滩机场,llm:codex:deepseek-v4.1-flash
1672,CYBF,Bonnyville Airport,邦尼维尔机场,llm:codex:deepseek-v4.1-flash
1673,CYBG,Saguenay-Bagotville Airport,萨格奈-巴戈特维尔机场,llm:codex:deepseek-v4.1-flash
1678,CYBR,Brandon Municipal Airport,布兰登市机场,llm:codex:deepseek-v4.1-flash
1680,CYBU,Nipawin Airport,尼帕温机场,llm:codex:deepseek-v4.1-flash
1682,CYBW,Calgary / Springbank Airport,卡尔加里/斯普林班克机场,llm:codex:deepseek-v4.1-flash
1690,CYCH,Miramichi Airport,米拉米奇机场,llm:codex:deepseek-v4.1-flash
1691,CYCL,Charlo Airport,查洛机场,llm:codex:deepseek-v4.1-flash
1692,CYCN,Cochrane Airport,科克伦机场,llm:codex:deepseek-v4.1-flash
1694,CYCP,Blue River Airport,蓝河机场,llm:codex:deepseek-v4.1-flash
1695,CYCQ,Chetwynd Airport,切特温德机场,llm:codex:deepseek-v4.1-flash
1709,CYDM,Ross River Airport,罗斯河机场,llm:codex:deepseek-v4.1-flash
1710,CYDN,Dauphin Barker Airport,多芬巴克机场,llm:codex:deepseek-v4.1-flash
1711,CYDO,Dolbeau-Saint-Felicien Airport,多尔博-圣费利西安机场,llm:codex:deepseek-v4.1-flash
1716,CYEE,Huronia Airport,休伦尼亚机场,llm:codex:deepseek-v4.1-flash
1719,CYEL,Elliot Lake Municipal Airport,埃利奥特湖市机场,llm:codex:deepseek-v4.1-flash
1720,CYEM,Manitoulin East Municipal Airport,马尼图林东市机场,llm:codex:deepseek-v4.1-flash
1721,CYEN,Estevan Airport,埃斯特万机场,llm:codex:deepseek-v4.1-flash
1724,CYET,Edson Airport,埃德森机场,llm:codex:deepseek-v4.1-flash
1726,CYEV,Inuvik Mike Zubko Airport,伊努维克迈克·祖布科机场,llm:codex:deepseek-v4.1-flash
1727,CYEY,Amos/Magny Airport,阿莫斯/马尼机场,llm:codex:deepseek-v4.1-flash
1732,CYFE,Forestville Airport,福里斯特维尔机场,llm:codex:deepseek-v4.1-flash
1736,CYFR,Fort Resolution Airport,雷索卢申堡机场,llm:codex:deepseek-v4.1-flash
1740,CYGD,Goderich Airport,戈德里奇机场,llm:codex:deepseek-v4.1-flash
1741,CYGE,Golden Airport,戈尔登机场,llm:codex:deepseek-v4.1-flash
1744,CYGL,La Grande Rivière Airport,拉格兰德里维埃机场,llm:codex:deepseek-v4.1-flash
1748,CYGQ,Geraldton Greenstone Regional Airport,杰拉尔顿-格林斯通地区机场,llm:codex:deepseek-v4.1-flash
1751,CYGV,Havre-Saint-Pierre Airport,阿弗尔-圣皮埃尔机场,llm:codex:deepseek-v4.1-flash
1752,CYGW,Kuujjuarapik Airport,库朱瓦拉皮克机场,llm:codex:deepseek-v4.1-flash
1759,CYHF,Hearst René Fontaine Municipal Airport,赫斯特勒内·方丹市机场,llm:codex:deepseek-v4.1-flash
1764,CYHN,Hornepayne Municipal Airport,霍恩佩恩市机场,llm:codex:deepseek-v4.1-flash
1771,CYIB,Atikokan Municipal Airport,阿蒂科坎市机场,llm:codex:deepseek-v4.1-flash
1772,CYID,Digby / Annapolis Regional Airport,迪格比/安纳波利斯地区机场,llm:codex:deepseek-v4.1-flash
1773,CYIF,St Augustin Airport,圣奥古斯丁机场,llm:codex:deepseek-v4.1-flash
1776,CYIV,Island Lake Airport,岛湖机场,llm:codex:deepseek-v4.1-flash
1778,CYJF,Fort Liard Airport,利亚德堡机场,llm:codex:deepseek-v4.1-flash
1780,CYJN,St Jean Airport,圣让机场,llm:codex:deepseek-v4.1-flash
1789,CYKJ,Key Lake Airport,基湖机场,llm:codex:deepseek-v4.1-flash
1790,CYKL,Schefferville Airport,谢弗维尔机场,llm:codex:deepseek-v4.1-flash
1793,CYKX,Kirkland Lake Airport,柯克兰莱克机场,llm:codex:deepseek-v4.1-flash
1794,CYKY,Kindersley Airport,金德斯利机场,llm:codex:deepseek-v4.1-flash
1799,CYLD,Chapleau Airport,沙普洛机场,llm:codex:deepseek-v4.1-flash
1801,CYLJ,Meadow Lake Airport,梅多湖机场,llm:codex:deepseek-v4.1-flash
1805,CYLR,Leaf Rapids Airport,利夫拉皮兹机场,llm:codex:deepseek-v4.1-flash
1810,CYME,Matane Airport,马塔讷机场,llm:codex:deepseek-v4.1-flash
1811,CYMG,Manitouwadge Airport,马尼图瓦奇机场,llm:codex:deepseek-v4.1-flash
1813,CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,穆斯乔空军少将C·M·麦克尤恩机场,llm:codex:deepseek-v4.1-flash
1814,CYML,Charlevoix Airport,夏洛瓦机场,llm:codex:deepseek-v4.1-flash
1817,CYMT,Chapais Airport,沙佩机场,llm:codex:deepseek-v4.1-flash
1822,CYNA,Natashquan Airport,纳塔什宽机场,llm:codex:deepseek-v4.1-flash
1827,CYNJ,Langley Airport,兰利机场,llm:codex:deepseek-v4.1-flash
1829,CYNM,Matagami Airport,马塔加米机场,llm:codex:deepseek-v4.1-flash
1830,CYNN,Nejanilini Lake Airport,内贾尼利尼湖机场,llm:codex:deepseek-v4.1-flash
1832,CYOA,Ekati Airport,埃卡蒂机场,llm:codex:deepseek-v4.1-flash
1834,CYOD,CFB Cold Lake,冷湖空军基地,llm:codex:deepseek-v4.1-flash
1838,CYOP,Rainbow Lake Airport,彩虹湖机场,llm:codex:deepseek-v4.1-flash
1839,CYOS,Owen Sound / Billy Bishop Regional Airport,欧文桑德/比利·毕晓普地区机场,llm:codex:deepseek-v4.1-flash
1842,CYPA,Prince Albert Glass Field,阿尔伯特王子机场,llm:codex:deepseek-v4.1-flash
1844,CYPD,Port Hawkesbury Airport,霍克斯伯里港机场,llm:codex:deepseek-v4.1-flash
1846,CYPG,Portage-la-Prairie / Southport Airport,波蒂奇拉普雷里/南港机场,llm:codex:deepseek-v4.1-flash
1849,CYPL,Pickle Lake Airport,皮克尔莱克机场,llm:codex:deepseek-v4.1-flash
1851,CYPN,Port-Menier Airport,梅尼耶港机场,llm:codex:deepseek-v4.1-flash
1859,CYPW,Powell River Airport,鲍威尔河机场,llm:codex:deepseek-v4.1-flash
1860,CYPX,Puvirnituq Airport,普维尔尼图克机场,llm:codex:deepseek-v4.1-flash
1865,CYQD,The Pas Airport,帕斯机场,llm:codex:deepseek-v4.1-flash
1868,CYQH,Watson Lake Airport,沃森莱克机场,llm:codex:deepseek-v4.1-flash
1873,CYQN,Nakina Airport,纳基纳机场,llm:codex:deepseek-v4.1-flash
1876,CYQS,St Thomas Municipal Airport,圣托马斯市机场,llm:codex:deepseek-v4.1-flash
1882,CYQY,Sydney / J.A. Douglas McCurdy Airport,悉尼/J.A.道格拉斯·麦柯迪机场,llm:codex:deepseek-v4.1-flash
1883,CYQZ,Quesnel Airport,克内尔机场,llm:codex:deepseek-v4.1-flash
1887,CYRI,Rivière-du-Loup Airport,里维耶尔迪卢机场,llm:codex:deepseek-v4.1-flash
1888,CYRJ,Roberval Airport,罗贝瓦尔机场,llm:codex:deepseek-v4.1-flash
1889,CYRL,Red Lake Airport,红湖机场,llm:codex:deepseek-v4.1-flash
1891,CYRO,Ottawa / Rockcliffe Airport,渥太华/罗克利夫机场,llm:codex:deepseek-v4.1-flash
1892,CYRP,Ottawa / Carp Airport,渥太华/卡普机场,llm:codex:deepseek-v4.1-flash
1902,CYSG,Saint-Georges Airport,圣乔治机场,llm:codex:deepseek-v4.1-flash
1903,CYSH,Smiths Falls-Montague (Russ Beach) Airport,史密斯福尔斯-蒙塔古机场,llm:codex:deepseek-v4.1-flash
1906,CYSL,Saint-Léonard Airport,圣莱昂纳尔机场,llm:codex:deepseek-v4.1-flash
1909,CYSP,Marathon Airport,马拉松机场,llm:codex:deepseek-v4.1-flash
1913,CYSU,Summerside Airport,萨默赛德机场,llm:codex:deepseek-v4.1-flash
1917,CYTA,Pembroke Airport,彭布罗克机场,llm:codex:deepseek-v4.1-flash
1919,CYTF,Alma Airport,阿尔马机场,llm:codex:deepseek-v4.1-flash
1924,CYTR,CFB Trenton,特伦顿空军基地,llm:codex:deepseek-v4.1-flash
1930,CYUX,Hall Beach Airport,霍尔比奇机场,llm:codex:deepseek-v4.1-flash
1932,CYVB,Bonaventure Airport,博纳旺蒂尔机场,llm:codex:deepseek-v4.1-flash
1933,CYVC,La Ronge Airport,拉龙日机场,llm:codex:deepseek-v4.1-flash
1934,CYVD,Virden / RJ (Bob) Andrew Field Regional Aerodrome,弗登地区机场,llm:codex:deepseek-v4.1-flash
1939,CYVP,Kuujjuaq Airport,库朱阿克机场,llm:codex:deepseek-v4.1-flash
1943,CYVV,Wiarton Airport,怀尔顿机场,llm:codex:deepseek-v4.1-flash
1950,CYWL,Williams Lake Airport,威廉姆斯湖机场,llm:codex:deepseek-v4.1-flash
1954,CYWY,Wrigley Airport,里格利机场,llm:codex:deepseek-v4.1-flash
1965,CYXR,Earlton (Timiskaming Regional) Airport,厄尔顿（蒂米斯卡明地区）机场,llm:codex:deepseek-v4.1-flash
1975,CYYE,Fort Nelson Airport,纳尔逊堡机场,llm:codex:deepseek-v4.1-flash
1980,CYYL,Lynn Lake Airport,林恩湖机场,llm:codex:deepseek-v4.1-flash
1985,CYYR,Goose Bay Airport,古斯湾机场,llm:codex:deepseek-v4.1-flash
1987,CYYU,Kapuskasing Airport,卡普斯卡辛机场,llm:codex:deepseek-v4.1-flash
1988,CYYW,Armstrong Airport,阿姆斯特朗机场,llm:codex:deepseek-v4.1-flash
1992,CYZE,Gore Bay Manitoulin Airport,戈尔贝-马尼图林机场,llm:codex:deepseek-v4.1-flash
1995,CYZH,Slave Lake Airport,斯拉夫湖机场,llm:codex:deepseek-v4.1-flash
1998,CYZS,Coral Harbour Airport,珊瑚港机场,llm:codex:deepseek-v4.1-flash
2000,CYZU,Whitecourt Airport,怀特考特机场,llm:codex:deepseek-v4.1-flash
2003,CYZX,CFB Greenwood,格林伍德空军基地,llm:codex:deepseek-v4.1-flash
2004,CYZY,Mackenzie Airport,马更些机场,llm:codex:deepseek-v4.1-flash
2006,CZAM,Shuswap Regional Airport,舒斯瓦普地区机场,llm:codex:deepseek-v4.1-flash
2011,CZBM,Bromont (Roland Désourdy) Airport,布罗蒙机场,llm:codex:deepseek-v4.1-flash
2012,CZEE,Kelsey Airport,凯尔西机场,llm:codex:deepseek-v4.1-flash
2014,CZFA,Faro Airport,法罗机场,llm:codex:deepseek-v4.1-flash
2023,CZJG,Jenpeg Airport,詹佩格机场,llm:codex:deepseek-v4.1-flash
2024,CZJN,Swan River Airport,天鹅河机场,llm:codex:deepseek-v4.1-flash
2030,CZMT,Masset Airport,马塞特机场,llm:codex:deepseek-v4.1-flash
2034,CZPC,Pincher Creek Airport,平彻克里克机场,llm:codex:deepseek-v4.1-flash
2037,CZSJ,Sandy Lake Airport,桑迪莱克机场,llm:codex:deepseek-v4.1-flash
2042,CZUC,Ignace Municipal Airport,伊格纳斯市政机场,llm:codex:deepseek-v4.1-flash
2049,DAAE,Soummam–Abane Ramdane Airport,苏马姆－阿巴内·拉姆丹机场,llm:codex:deepseek-v4.1-flash
2051,DAAJ,Tiska Djanet Airport,蒂斯卡贾奈特机场,llm:codex:deepseek-v4.1-flash
2052,DAAK,Boufarik Air Base,布法里克空军基地,llm:codex:deepseek-v4.1-flash
2054,DAAP,Illizi Takhamalt Airport,伊利济塔哈马特机场,llm:codex:deepseek-v4.1-flash
2058,DAAY,Mecheria Airport,迈舍里耶机场,llm:codex:deepseek-v4.1-flash
2062,DABS,Cheikh Larbi Tébessi Airport,谢赫·拉尔比·泰贝西机场,llm:codex:deepseek-v4.1-flash
2063,DABT,Batna Mostefa Ben Boulaid Airport,巴特纳·穆斯塔法·本·布莱德机场,llm:codex:deepseek-v4.1-flash
2065,DAOB,Abdelhafid Boussouf Bou Chekif Airport,阿卜杜勒哈菲德·布苏夫·布切基夫机场,llm:codex:deepseek-v4.1-flash
2068,DAOI,Chlef Aboubakr Belkaid International Airport,谢利夫·阿布·贝克尔·贝尔凯德国际机场,llm:codex:deepseek-v4.1-flash
2069,DAOL,Oran Tafraoui Airport,奥兰塔夫拉维机场,llm:codex:deepseek-v4.1-flash
2072,DAOR,Béchar Boudghene Ben Ali Lotfi Airport,贝沙尔·布德盖内·本·阿里·洛特菲机场,llm:codex:deepseek-v4.1-flash
2074,DAOV,Ghriss Airport,格里斯机场,llm:codex:deepseek-v4.1-flash
2075,DAUA,Touat-Cheikh Sidi Mohamed Belkebir Airport,图瓦特-谢赫·西迪·穆罕默德·贝尔凯比尔机场,llm:codex:deepseek-v4.1-flash
2078,DAUG,Noumérat - Moufdi Zakaria Airport,努梅拉特-穆夫迪·扎卡里亚机场,llm:codex:deepseek-v4.1-flash
2079,DAUH,Hassi Messaoud-Oued Irara Krim Belkacem Airport,哈西迈斯欧德-瓦迪伊拉拉·克里姆·贝尔卡塞姆机场,llm:codex:deepseek-v4.1-flash
2081,DAUK,Touggourt Sidi Madhi Airport,图古尔特·西迪·马迪机场,llm:codex:deepseek-v4.1-flash
2082,DAUL,Laghouat - Molay Ahmed Medeghri Airport,拉格瓦特-穆莱·艾哈迈德·梅代格里机场,llm:codex:deepseek-v4.1-flash
2085,DAUU,Ain Beida Airport,艾因贝达机场,llm:codex:deepseek-v4.1-flash
2086,DAUZ,Zarzaitine - In Aménas Airport,扎尔扎伊廷-因阿迈纳斯机场,llm:codex:deepseek-v4.1-flash
2101,DISP,San Pedro Airport,圣佩德罗机场,llm:codex:deepseek-v4.1-flash
2108,DNEN,Akanu Ibiam International Airport,阿卡努·伊比亚姆国际机场,llm:codex:deepseek-v4.1-flash
2134,DTTB,Bizerte Sidi Ahmed Air Base,比塞大西迪艾哈迈德空军基地,llm:codex:deepseek-v4.1-flash
2135,DTTD,Remada Air Base,雷马达空军基地,llm:codex:deepseek-v4.1-flash
2136,DTTF,Gafsa Ksar International Airport,加夫萨卡斯尔国际机场,llm:codex:deepseek-v4.1-flash
2137,DTTG,Gabès Matmata International Airport,加贝斯马特马塔国际机场,llm:codex:deepseek-v4.1-flash
2140,DTTR,El Borma Airport,埃尔博尔马机场,llm:codex:deepseek-v4.1-flash
2161,EBKT,Kortrijk-Wevelgem International Airport,科特赖克-韦弗尔海姆国际机场,llm:codex:deepseek-v4.1-flash
2184,EDAC,Leipzig–Altenburg Airport,莱比锡-阿尔滕堡机场,llm:codex:deepseek-v4.1-flash
2187,EDAH,Heringsdorf Airport,黑灵斯多夫机场,llm:codex:deepseek-v4.1-flash
2200,EDBR,Rothenburg/Görlitz Airfield,罗滕堡/格尔利茨机场,llm:codex:deepseek-v4.1-flash
2226,EDFE,Frankfurt-Egelsbach Airport,法兰克福-埃格尔斯巴赫机场,llm:codex:deepseek-v4.1-flash
2231,EDFZ,Mainz-Finthen Airfield,美因茨-芬滕机场,llm:codex:deepseek-v4.1-flash
2232,EDGE,Eisenach-Kindel Airport,艾森纳赫-金德尔机场,llm:codex:deepseek-v4.1-flash
2233,EDGS,Siegerland Airport,锡根兰机场,llm:codex:deepseek-v4.1-flash
2234,EDHI,Hamburg-Finkenwerder Airport,汉堡-芬肯韦尔德机场,llm:codex:deepseek-v4.1-flash
2235,EDHK,Kiel-Holtenau Airport,基尔-霍尔滕瑙机场,llm:codex:deepseek-v4.1-flash
2252,EDMO,Oberpfaffenhofen Airport,上普法芬霍芬机场,llm:codex:deepseek-v4.1-flash
2261,EDQD,Bayreuth Airport,拜罗伊特机场,llm:codex:deepseek-v4.1-flash
2263,EDQM,Hof-Plauen Airport,霍夫-普劳恩机场,llm:codex:deepseek-v4.1-flash
2273,EDTD,Donaueschingen-Villingen Airfield,多瑙艾辛根-菲林根机场,llm:codex:deepseek-v4.1-flash
2276,EDTL,Lahr Airport,拉尔机场,llm:codex:deepseek-v4.1-flash
2277,EDTM,Mengen-Hohentengen Airfield,门根-霍恩滕根机场,llm:codex:deepseek-v4.1-flash
2278,EDTY,Adolf Würth Airport,阿道夫·伍尔特机场,llm:codex:deepseek-v4.1-flash
2297,EEEI,Ämari Air Base,埃马里空军基地,llm:codex:deepseek-v4.1-flash
2352,EFVR,Varkaus Airport,瓦尔考斯机场,llm:codex:deepseek-v4.1-flash
2357,EES,Berenice International Airport / Banas Cape Air Base,贝勒尼基国际机场/巴纳斯角空军基地,llm:codex:deepseek-v4.1-flash
2372,HE32,Al Mansurah Airbase,曼苏拉空军基地,llm:codex:deepseek-v4.1-flash
2375,HE35,Abu Suwayr Air Base,阿布苏韦尔空军基地,llm:codex:deepseek-v4.1-flash
2376,HE36,Bardawil International Airport,巴尔达维尔国际机场,llm:codex:deepseek-v4.1-flash
2383,HEIS,Al Ismailiyya Air Base,伊斯梅利亚空军基地,llm:codex:deepseek-v4.1-flash
2393,EGBN,Nottingham City Airport,诺丁汉城市机场,llm:codex:deepseek-v4.1-flash
2403,EGDC,Royal Marines Base Chivenor,奇弗诺皇家海军陆战队基地,llm:codex:deepseek-v4.1-flash
2406,EGDM,MoD Boscombe Down,博斯科姆唐国防部基地,llm:codex:deepseek-v4.1-flash
2408,EGDR,RNAS Culdrose,皇家海军库尔德罗斯航空站,llm:codex:deepseek-v4.1-flash
2409,EGDX,MOD St Athan,圣阿森国防部基地,llm:codex:deepseek-v4.1-flash
2410,EGDY,RNAS Yeovilton,皇家海军约维尔顿航空站,llm:codex:deepseek-v4.1-flash
2423,EGHL,Lasham Airfield,拉舍姆机场,llm:codex:deepseek-v4.1-flash
2436,EGMD,Lydd London Ashford Airport,利德伦敦阿什福德机场,llm:codex:deepseek-v4.1-flash
2443,EGNL,Barrow Walney Island Airport,巴罗沃尔尼岛机场,llm:codex:deepseek-v4.1-flash
2445,EGNO,Warton Aerodrome,沃顿机场,llm:codex:deepseek-v4.1-flash
2453,EGOS,RAF Shawbury,肖伯里皇家空军基地,llm:codex:deepseek-v4.1-flash
2471,EGQL,Leuchars Station Airfield,卢赫斯机场,llm:codex:deepseek-v4.1-flash
2472,EGQS,RAF Lossiemouth,洛西茅斯皇家空军基地,llm:codex:deepseek-v4.1-flash
2480,EGTC,Cranfield Airport,克兰菲尔德机场,llm:codex:deepseek-v4.1-flash
2486,EGUB,RAF Benson,本森皇家空军基地,llm:codex:deepseek-v4.1-flash
2487,EGUL,RAF Lakenheath,莱肯希思皇家空军基地,llm:codex:deepseek-v4.1-flash
2488,EGUN,RAF Mildenhall,米尔登霍尔皇家空军基地,llm:codex:deepseek-v4.1-flash
2490,EGUW,Wattisham Airfield,瓦蒂舍姆机场,llm:codex:deepseek-v4.1-flash
2492,EGVA,RAF Fairford,费尔福德皇家空军基地,llm:codex:deepseek-v4.1-flash
2493,EGVN,RAF Brize Norton,布里兹诺顿皇家空军基地,llm:codex:deepseek-v4.1-flash
2495,EGWC,RAF Cosford,科斯福德皇家空军基地,llm:codex:deepseek-v4.1-flash
2497,EGXC,RAF Coningsby,康宁斯比皇家空军基地,llm:codex:deepseek-v4.1-flash
2499,EGXE,RAF Leeming,利明皇家空军基地,llm:codex:deepseek-v4.1-flash
2500,EGXG,Leeds East Airport,利兹东机场,llm:codex:deepseek-v4.1-flash
2501,EGXH,RAF Honington,霍宁顿皇家空军基地,llm:codex:deepseek-v4.1-flash
2504,EGXT,RAF Wittering,威特灵皇家空军基地,llm:codex:deepseek-v4.1-flash
2506,EGXW,RAF Waddington,沃丁顿皇家空军基地,llm:codex:deepseek-v4.1-flash
2508,EGXZ,RAF Topcliffe,托普克利夫皇家空军基地,llm:codex:deepseek-v4.1-flash
2510,EGYE,RAF Barkston Heath,巴克斯顿希思皇家空军基地,llm:codex:deepseek-v4.1-flash
2511,EGYM,RAF Marham,马勒姆皇家空军基地,llm:codex:deepseek-v4.1-flash
2512,EGYP,Mount Pleasant Airport / RAF Mount Pleasant,芒特普莱森特机场,llm:codex:deepseek-v4.1-flash
2514,EHBD,Kempen Airport Budel,肯彭机场,llm:codex:deepseek-v4.1-flash
2516,EHDL,Deelen Air Base,代伦空军基地,llm:codex:deepseek-v4.1-flash
2520,EHGR,Gilze Rijen Air Base,希尔泽赖恩空军基地,llm:codex:deepseek-v4.1-flash
2521,EHKD,De Kooy Airfield / Den Helder Naval Air Station,德科伊机场,llm:codex:deepseek-v4.1-flash
2528,EHVK,Volkel Air Base,沃尔克尔空军基地,llm:codex:deepseek-v4.1-flash
2529,EHWO,Woensdrecht Air Base,翁斯德雷赫特空军基地,llm:codex:deepseek-v4.1-flash
2536,EIME,Casement Air Base,凯斯门特空军基地,llm:codex:deepseek-v4.1-flash
2551,EKRK,Copenhagen Roskilde Airport,哥本哈根罗斯基勒机场,llm:codex:deepseek-v4.1-flash
2556,EKSV,Skive Airport,斯基沃机场,llm:codex:deepseek-v4.1-flash
2558,EKVD,Kolding Vamdrup Airfield,科灵-瓦姆德鲁普机场,llm:codex:deepseek-v4.1-flash
2561,EKVJ,Stauning Vestjylland  Airport,斯陶宁西日德兰机场,llm:codex:deepseek-v4.1-flash
2574,ENDU,Bardufoss Airport,巴杜福斯机场,llm:codex:deepseek-v4.1-flash
2583,ENKR,"Kirkenes Airport, Høybuktmoen",希尔克内斯机场,llm:codex:deepseek-v4.1-flash
2586,ENMS,"Mosjøen Airport, Kjærstad",莫舍恩机场,llm:codex:deepseek-v4.1-flash
2591,ENRO,Røros Airport,勒罗斯机场,llm:codex:deepseek-v4.1-flash
2592,ENRY,"Moss Airport, Rygge",莫斯机场,llm:codex:deepseek-v4.1-flash
2594,ENSN,Skien Airport,希恩机场,llm:codex:deepseek-v4.1-flash
2596,ENSR,Sørkjosen Airport,瑟克约森机场,llm:codex:deepseek-v4.1-flash
2597,ENSS,"Vardø Airport, Svartnes",瓦德瑟机场,llm:codex:deepseek-v4.1-flash
2598,ENST,"Sandnessjøen Airport, Stokka",桑德内斯约恩机场,llm:codex:deepseek-v4.1-flash
2605,EPCE,Cewice Naval Air Base,采维采海军航空基地,llm:codex:deepseek-v4.1-flash
2607,EPDE,Deblin Military Air Base,登布林空军基地,llm:codex:deepseek-v4.1-flash
2612,EPKS,Krzesiny Military Air Base,克热希尼空军基地,llm:codex:deepseek-v4.1-flash
2618,EPMB,Malbork Królewo Air Base,马尔堡克鲁莱沃空军基地,llm:codex:deepseek-v4.1-flash
2619,EPMI,Miroslawiec Military Air Base,米罗斯瓦维茨空军基地,llm:codex:deepseek-v4.1-flash
2621,EPMM,Minsk Mazowiecki Military Air Base,明斯克-马佐维茨基空军基地,llm:codex:deepseek-v4.1-flash
2627,EPPW,Powidz Military Air Base,波维兹空军基地,llm:codex:deepseek-v4.1-flash
2633,EPSN,Swidwin Military Air Base,希维德温空军基地,llm:codex:deepseek-v4.1-flash
2643,ESCF,Malmen Air Base,马尔门空军基地,llm:codex:deepseek-v4.1-flash
2647,ESFR,Råda Air Base,罗达空军基地,llm:codex:deepseek-v4.1-flash
2654,ESGT,Trollhättan-Vänersborg Airport,特罗尔海坦-韦纳斯堡机场,llm:codex:deepseek-v4.1-flash
2656,ESIB,Såtenäs Air Base,索特奈斯空军基地,llm:codex:deepseek-v4.1-flash
2712,ESTL,Ljungbyhed Airfield,永比赫德机场,llm:codex:deepseek-v4.1-flash
2717,ETAD,Spangdahlem Air Base,施潘达勒姆空军基地,llm:codex:deepseek-v4.1-flash
2718,ETAR,Ramstein Air Base,拉姆施泰因空军基地,llm:codex:deepseek-v4.1-flash
2722,ETHC,Celle Army Airfield,策勒陆军机场,llm:codex:deepseek-v4.1-flash
2724,ETHF,Fritzlar Army Airfield,弗里茨拉尔陆军机场,llm:codex:deepseek-v4.1-flash
2727,ETHN,Niederstetten Army Air Base,尼德施泰滕陆军航空基地,llm:codex:deepseek-v4.1-flash
2730,ETIC,Grafenwöhr Army Air Field,格拉芬沃尔陆军机场,llm:codex:deepseek-v4.1-flash
2732,ETIH,Hohenfels Army Airfield,霍恩费尔斯陆军机场,llm:codex:deepseek-v4.1-flash
2734,ETMN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,库克斯港/诺德霍尔茨海上机场,llm:codex:deepseek-v4.1-flash
2737,ETNH,Hohn Air Base,霍恩空军基地,llm:codex:deepseek-v4.1-flash
2741,ETNS,Schleswig Air Base,石勒苏益格空军基地,llm:codex:deepseek-v4.1-flash
2742,ETNT,Wittmundhafen Air Base,维特蒙德港空军基地,llm:codex:deepseek-v4.1-flash
2744,ETNW,Wunstorf Air Base,文斯托夫空军基地,llm:codex:deepseek-v4.1-flash
2749,ETSB,Büchel Air Base,比歇尔空军基地,llm:codex:deepseek-v4.1-flash
2753,ETSI,Ingolstadt Manching Airport,因戈尔施塔特-曼兴机场,llm:codex:deepseek-v4.1-flash
2754,ETSL,Lechfeld Air Base,莱希费尔德空军基地,llm:codex:deepseek-v4.1-flash
2755,ETSN,Neuburg Air Base,诺伊堡空军基地,llm:codex:deepseek-v4.1-flash
2780,FAEO,Ermelo Airport,埃尔默洛机场,llm:codex:deepseek-v4.1-flash
2781,FAFB,Ficksburg Sentraoes Airport,菲克斯堡机场,llm:codex:deepseek-v4.1-flash
2789,FAHR,Harrismith Airport,哈里史密斯机场,llm:codex:deepseek-v4.1-flash
2806,FALY,Ladysmith Airport,莱迪史密斯机场,llm:codex:deepseek-v4.1-flash
